Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
N-acetyl-Muramic acid,CC(O)=N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O,1.9191873,0.963131525,9.97
2-Methylguanosine,CNC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C=N2,1.921207,1.473254245,12.17
Estrone glucuronide,C[C@]12CC[C@@H]3C4=CC=C(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)C=C4CC[C@H]3[C@@H]1CCC2=O,1.9335644,2.609321661,17.05
Estradiol,C[C@]12CC[C@@H]3C4=C(C=C(O)C=C4)CC[C@H]3[C@@H]1CC[C@@H]2O,1.9338319,19.11019385,12.41
20:5 Cholesteryl ester,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1,1.9361516,2.120641991,18.22
Isoxanthopterin,NC1=NC(=O)C2=C(N1)NC(=O)C=N2,1.9803649,1.446988899,7.87
3'-Sialyllactose,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@@](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)[C@@H]2O)(C(=O)O)C[C@@H]1O,1.9974575,0.352742872,14.7
1b-Hydroxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)C[C@@H](O)[C@]4(C)[C@H]3C[C@H](O)[C@]12C,2.009524,3.721470758,17.35
"11b-Hydroxyandrost-4-ene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(O)C[C@]2(C)C(=O)CC[C@@H]12,2.0139594,21.74144387,10.05
Androstenedione,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2.0175042,27.73605585,11.09
Thiamine hydrochloride,CC1=NC=C(C[N+]2=CSC(CCO)=C2C)C(=N)N1.Cl.[Cl-],2.080439,7.816381752,10.25
Vitamin D3,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)C1CC[C@@H]2[C@H](C)CCCC(C)C,2.0844793,12.09667772,18.35
Alpha-Tocopherol,CC1=C(O)C(C)=C2CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)OC2=C1C,2.0863512,5.308584869,20.84
Val-Pro-Pro,CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)O,2.102189,4.094362259,10.89
Calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,2.1260252,4.556181282,18.32
Cytidine,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1,2.1661563,1.327856816,9.92
Nicotinamide riboside,NC(=O)C1=C[N+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)=CC=C1,2.192788,2.513224073,11.01
Adenine,NC1=C2NC=NC2=NC=N1,2.2716315,3.068326227,6.47
GDP-L-fucose,C[C@@H]1OC(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N3C=NC4=C3N=C(N)NC4=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,2.2730517,0.507057318,16.8
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(=O)O,2.3063817,2.179411426,14.32
Sophorose,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,2.3586354,0.510054035,10.93
Terbutryn,CCN=C1N=C(NC(C)(C)C)NC(SC)=N1,2.4030504,13.42555583,9.86
Cyanazine,CCN=C1N=C(Cl)N=C(NC(C)(C)C#N)N1,2.4056516,7.658830285,11.36
Allocystathionine,NC(CSCC[C@H](N)C(=O)O)C(=O)O,2.4228745,0.319922366,10.64
